User_ID,Age_Group,Source_Channel,User_Device,Video_Completion_Rate,Watch_Duration_Mins,Is_Speed_Watching,Drop_off_Point,Registration_Status,Lead_Score,Consultation_Booked,Enrollment_Status,NPS_Score,Feedback_Keywords
U000042,18-24,Douyin (TikTok China),Android,0.51,10.3,No,Middle,Registered,66,No,Not Paid,5,Need More Support
U000043,35-44,Douyin (TikTok China),Android,0.28,5.5,No,Intro,Visitor,45,No,Not Paid,9,Instructor Boring
U000044,18-24,WeChat Channels (视频号),Android,0.99,19.8,No,End,Registered,100,Yes,Not Paid,10,Pace Too Fast
U000045,35-44,Douyin (TikTok China),Android,0.56,11.3,Yes,Sales_Pitch,Registered,87,Yes,Paid,8,"Want More Examples, Good Instructor"
U000046,35-44,Douyin (TikTok China),Android,0.56,11.1,No,Middle,Registered,69,No,Not Paid,5,Too Expensive
U000047,25-34,WeChat Channels (视频号),iOS,0.7,13.9,No,Sales_Pitch,Registered,88,Yes,Not Paid,8,"Sales Too Pushy, Instructor Boring"
U000048,25-34,WeChat Channels (视频号),PC,0.7,13.9,No,Middle,Registered,88,Yes,Not Paid,3,Not Enough Examples
U000049,25-34,WeChat Channels (视频号),PC,0.86,17.2,No,Sales_Pitch,Registered,100,Yes,Paid,8,Practical Tips
U000050,25-34,Douyin (TikTok China),iOS,0.95,19.0,Yes,End,Registered,98,Yes,Not Paid,8,Too Expensive
U000051,45-54,WeChat Moments (朋友圈),Android,0.92,18.3,Yes,Sales_Pitch,Registered,100,Yes,Paid,10,Content Useful
U000052,25-34,Douyin (TikTok China),iOS,0.31,6.2,No,Intro,Visitor,47,No,Not Paid,5,"Sales Too Pushy, Content Too Basic, Pace Too Fast"
U000053,35-44,Douyin (TikTok China),Android,0.76,15.3,Yes,End,Registered,88,Yes,Not Paid,6,Too Expensive
U000054,25-34,Douyin (TikTok China),Android,0.82,16.5,No,Sales_Pitch,Registered,95,Yes,Not Paid,4,Too Expensive
U000055,45-54,WeChat Channels (视频号),PC,0.85,17.0,No,End,Registered,97,Yes,Not Paid,6,Pace Too Fast
U000056,35-44,WeChat Channels (视频号),Android,0.3,6.1,No,Middle,Registered,77,Yes,Paid,10,"Clear Structure, Practical Tips"
U000057,25-34,Douyin (TikTok China),Android,0.6,11.9,Yes,Middle,Registered,89,Yes,Paid,8,Clear Structure
U000058,25-34,Douyin (TikTok China),Android,0.42,8.4,No,Middle,Registered,73,Yes,Not Paid,3,Pace Too Fast
U000059,25-34,Douyin (TikTok China),PC,0.21,4.2,No,Intro,Visitor,41,No,Not Paid,8,"Too Expensive, Instructor Boring"
U000060,25-34,WeChat Channels (视频号),Android,0.32,6.5,Yes,Intro,Registered,64,Yes,Not Paid,10,Need More Support
U000061,35-44,WeChat Moments (朋友圈),Android,0.97,19.3,No,End,Registered,100,Yes,Paid,8,"Clear Structure, Easy to Follow"
U000062,35-44,Douyin (TikTok China),Android,0.67,13.4,Yes,Middle,Visitor,63,No,Not Paid,5,"Audio Bad, Instructor Boring"
U000063,25-34,WeChat Channels (视频号),iOS,0.99,19.8,Yes,End,Registered,100,Yes,Paid,9,"Good Audio, Practical Tips"
U000064,35-44,Douyin (TikTok China),Android,0.94,18.8,Yes,Sales_Pitch,Registered,100,Yes,Paid,8,Clear Structure
U000065,25-34,WeChat Channels (视频号),PC,0.91,18.3,No,Sales_Pitch,Registered,100,Yes,Paid,9,"Easy to Follow, Practical Tips"
U000066,25-34,WeChat Moments (朋友圈),PC,0.3,5.9,No,Intro,Visitor,46,No,Not Paid,3,"Need More Support, Content Too Basic"
U000067,18-24,Douyin (TikTok China),iOS,0.68,13.6,Yes,Sales_Pitch,Registered,93,Yes,Paid,10,"Want More Examples, Good Audio"
U000068,25-34,WeChat Channels (视频号),iOS,0.48,9.6,Yes,Sales_Pitch,Registered,60,No,Not Paid,5,Too Expensive
U000069,25-34,Douyin (TikTok China),iOS,0.92,18.3,No,End,Registered,100,Yes,Paid,10,Content Useful
U000070,25-34,Douyin (TikTok China),Android,0.55,11.1,Yes,Middle,Registered,64,No,Not Paid,6,Content Too Basic
U000071,25-34,WeChat Channels (视频号),Android,0.41,8.2,Yes,Middle,Registered,57,No,Not Paid,2,"Pace Too Fast, Content Too Basic, Need More Support"
U000072,25-34,Douyin (TikTok China),iOS,0.98,19.7,Yes,End,Registered,100,Yes,Not Paid,5,"Instructor Boring, Not Enough Examples, Audio Bad"
U000073,35-44,Douyin (TikTok China),iOS,0.73,14.6,Yes,End,Registered,86,Yes,Not Paid,7,"Sales Too Pushy, Content Too Basic, Hard to Follow"
U000074,35-44,Douyin (TikTok China),Android,0.37,7.3,Yes,Sales_Pitch,Registered,54,No,Not Paid,6,"Pace Too Fast, Too Expensive"
U000075,25-34,WeChat Channels (视频号),iOS,0.85,17.0,No,Sales_Pitch,Registered,100,Yes,Paid,10,"Clear Structure, Content Useful"
U000076,25-34,Douyin (TikTok China),PC,0.48,9.5,Yes,Middle,Registered,72,Yes,Not Paid,7,"Pace Too Fast, Need More Support, Content Too Basic"
U000077,25-34,WeChat Channels (视频号),Android,0.92,18.4,No,End,Registered,100,Yes,Not Paid,3,"Hard to Follow, Sales Too Pushy, Not Enough Examples"
U000078,35-44,Douyin (TikTok China),PC,0.81,16.1,No,Sales_Pitch,Registered,94,Yes,Not Paid,8,"Pace Too Fast, Instructor Boring"
U000079,45-54,Douyin (TikTok China),Android,0.7,14.0,Yes,End,Registered,85,Yes,Not Paid,9,Pace Too Fast
U000080,25-34,WeChat Moments (朋友圈),PC,0.45,9.1,No,Middle,Registered,63,No,Not Paid,5,"Need More Support, Not Enough Examples, Instructor Boring"
U000081,18-24,WeChat Moments (朋友圈),Android,0.88,17.6,No,End,Registered,100,Yes,Paid,9,"Clear Structure, Content Useful"
U000082,25-34,Douyin (TikTok China),Android,0.82,16.4,No,End,Registered,83,No,Not Paid,6,"Instructor Boring, Need More Support"
U000083,35-44,Douyin (TikTok China),Android,0.57,11.3,No,Middle,Visitor,61,No,Not Paid,7,"Sales Too Pushy, Content Too Basic"
U000084,18-24,Douyin (TikTok China),iOS,0.97,19.4,Yes,End,Registered,100,Yes,Paid,9,Good Audio
U000085,35-44,WeChat Channels (视频号),PC,0.74,14.8,Yes,End,Registered,97,Yes,Paid,9,Good Audio
U000086,35-44,Douyin (TikTok China),Android,0.84,16.8,No,Sales_Pitch,Registered,100,Yes,Paid,8,Easy to Follow
U000087,18-24,WeChat Moments (朋友圈),iOS,0.54,10.8,Yes,Sales_Pitch,Visitor,56,No,Not Paid,6,Too Expensive
U000088,35-44,WeChat Channels (视频号),iOS,0.71,14.1,No,End,Registered,89,Yes,Not Paid,5,"Too Expensive, Instructor Boring"
U000089,35-44,WeChat Channels (视频号),Android,0.8,16.0,No,End,Registered,100,Yes,Paid,9,"Good Audio, Clear Structure"
U000090,25-34,WeChat Channels (视频号),PC,0.77,15.5,Yes,Sales_Pitch,Registered,77,No,Not Paid,8,"Not Enough Examples, Too Expensive, Hard to Follow"
U000091,45-54,WeChat Moments (朋友圈),iOS,0.47,9.4,No,Middle,Visitor,56,No,Not Paid,7,"Not Enough Examples, Need More Support"
U000092,45-54,WeChat Channels (视频号),Android,0.41,8.2,No,Sales_Pitch,Registered,83,Yes,Paid,9,Practical Tips
U000093,35-44,WeChat Channels (视频号),PC,0.77,15.5,No,Sales_Pitch,Registered,93,Yes,Not Paid,8,"Hard to Follow, Audio Bad"
U000094,18-24,WeChat Moments (朋友圈),Android,0.97,19.4,No,End,Registered,100,Yes,Paid,9,"Clear Structure, Easy to Follow"
U000095,35-44,Douyin (TikTok China),Android,0.66,13.2,No,Sales_Pitch,Registered,86,Yes,Not Paid,6,"Too Expensive, Content Too Basic"
U000096,35-44,Douyin (TikTok China),PC,0.49,9.8,Yes,Sales_Pitch,Visitor,53,No,Not Paid,8,"Content Too Basic, Sales Too Pushy"
U000097,35-44,Douyin (TikTok China),Android,0.47,9.4,Yes,Middle,Registered,60,No,Not Paid,7,Content Too Basic
U000098,25-34,WeChat Moments (朋友圈),Android,0.8,15.9,No,End,Registered,94,Yes,Not Paid,4,"Not Enough Examples, Audio Bad"
U000099,25-34,WeChat Channels (视频号),iOS,0.7,14.0,No,Sales_Pitch,Registered,88,Yes,Not Paid,4,"Pace Too Fast, Instructor Boring"
U000100,35-44,WeChat Channels (视频号),Android,0.61,12.3,No,Middle,Registered,84,Yes,Not Paid,6,"Content Too Basic, Audio Bad, Too Expensive"
U000101,25-34,WeChat Channels (视频号),PC,0.99,19.8,No,Sales_Pitch,Registered,100,Yes,Paid,9,"Want More Examples, Good Audio"
U000102,18-24,WeChat Moments (朋友圈),Android,0.9,18.0,Yes,End,Registered,96,Yes,Not Paid,5,"Hard to Follow, Need More Support"
U000103,18-24,WeChat Moments (朋友圈),iOS,0.94,18.8,No,End,Registered,100,Yes,Not Paid,6,"Sales Too Pushy, Content Too Basic, Instructor Boring"
U000104,25-34,WeChat Moments (朋友圈),PC,0.77,15.4,No,End,Registered,100,Yes,Paid,8,Good Instructor
U000105,25-34,Douyin (TikTok China),iOS,0.94,18.7,No,Sales_Pitch,Registered,100,Yes,Paid,10,Easy to Follow
U000106,25-34,Douyin (TikTok China),iOS,0.93,18.6,No,End,Registered,89,No,Not Paid,7,"Audio Bad, Content Too Basic, Too Expensive"
U000107,18-24,Douyin (TikTok China),Android,0.31,6.3,Yes,Intro,Visitor,43,No,Not Paid,8,Too Expensive
U000108,18-24,WeChat Channels (视频号),Android,0.45,9.0,Yes,Middle,Visitor,51,No,Not Paid,6,"Sales Too Pushy, Not Enough Examples, Hard to Follow"
U000109,35-44,Douyin (TikTok China),Android,0.9,17.9,No,End,Registered,99,Yes,Not Paid,6,Instructor Boring
U000110,35-44,WeChat Channels (视频号),iOS,0.9,18.0,No,End,Registered,88,No,Not Paid,7,"Too Expensive, Pace Too Fast"
U000111,35-44,Douyin (TikTok China),Android,0.44,8.8,Yes,Middle,Visitor,50,No,Not Paid,5,"Pace Too Fast, Instructor Boring, Sales Too Pushy"
U000112,45-54,Douyin (TikTok China),iOS,0.67,13.4,No,Middle,Registered,97,Yes,Paid,9,Want More Examples
U000113,25-34,Douyin (TikTok China),Android,0.68,13.6,No,Middle,Registered,87,Yes,Not Paid,7,"Audio Bad, Need More Support, Too Expensive"
U000114,45-54,WeChat Moments (朋友圈),iOS,0.99,19.8,Yes,End,Registered,100,Yes,Paid,8,Easy to Follow
U000115,25-34,WeChat Moments (朋友圈),iOS,0.69,13.8,Yes,Sales_Pitch,Registered,94,Yes,Paid,10,Practical Tips
U000116,45-54,WeChat Channels (视频号),PC,0.68,13.5,Yes,Middle,Registered,83,Yes,Not Paid,5,Not Enough Examples
U000117,35-44,Douyin (TikTok China),iOS,0.84,16.8,Yes,End,Registered,100,Yes,Paid,9,"Good Instructor, Good Audio"
U000118,25-34,Douyin (TikTok China),iOS,0.84,16.9,Yes,End,Registered,80,No,Not Paid,10,"Too Expensive, Pace Too Fast"
U000119,25-34,Douyin (TikTok China),Android,0.45,9.0,Yes,Middle,Registered,71,Yes,Not Paid,3,"Sales Too Pushy, Not Enough Examples"
U000120,25-34,WeChat Channels (视频号),iOS,0.53,10.5,Yes,Middle,Visitor,55,No,Not Paid,2,"Sales Too Pushy, Audio Bad, Content Too Basic"
U000121,45-54,Douyin (TikTok China),PC,0.84,16.8,No,End,Registered,96,Yes,Not Paid,7,Audio Bad
U000122,25-34,WeChat Channels (视频号),iOS,0.53,10.7,Yes,Middle,Registered,75,Yes,Not Paid,7,"Instructor Boring, Hard to Follow, Not Enough Examples"
U000123,45-54,Douyin (TikTok China),iOS,0.63,12.7,Yes,Middle,Registered,91,Yes,Paid,10,Easy to Follow
U000124,35-44,WeChat Channels (视频号),Android,0.63,12.5,No,Middle,Registered,94,Yes,Paid,8,Want More Examples
U000125,25-34,WeChat Moments (朋友圈),Android,0.86,17.1,No,End,Registered,85,No,Not Paid,3,Need More Support
U000126,25-34,WeChat Channels (视频号),PC,0.67,13.4,No,Middle,Registered,87,Yes,Not Paid,5,Audio Bad
U000127,25-34,Douyin (TikTok China),Android,0.78,15.6,No,End,Registered,81,No,Not Paid,6,"Too Expensive, Instructor Boring, Sales Too Pushy"
U000128,25-34,WeChat Channels (视频号),Android,0.74,14.9,No,End,Registered,91,Yes,Not Paid,8,"Audio Bad, Not Enough Examples, Pace Too Fast"
U000129,25-34,WeChat Channels (视频号),Android,0.53,10.7,Yes,Sales_Pitch,Visitor,55,No,Not Paid,9,"Hard to Follow, Audio Bad"
U000130,25-34,Douyin (TikTok China),Android,0.42,8.4,No,Sales_Pitch,Registered,73,Yes,Not Paid,5,Hard to Follow
U000131,35-44,Douyin (TikTok China),Android,0.67,13.4,No,Middle,Registered,87,Yes,Not Paid,7,"Too Expensive, Not Enough Examples"
U000132,35-44,Douyin (TikTok China),iOS,0.93,18.6,Yes,End,Registered,97,Yes,Not Paid,5,"Too Expensive, Sales Too Pushy, Hard to Follow"
U000133,25-34,Douyin (TikTok China),Android,0.64,12.8,No,Middle,Registered,95,Yes,Paid,8,Want More Examples
U000134,35-44,Douyin (TikTok China),iOS,0.73,14.7,No,Sales_Pitch,Visitor,70,No,Not Paid,5,Too Expensive
U000135,18-24,Douyin (TikTok China),Android,0.59,11.8,No,Middle,Registered,82,Yes,Not Paid,6,"Pace Too Fast, Audio Bad, Sales Too Pushy"
U000136,35-44,Douyin (TikTok China),Android,0.39,7.8,No,Middle,Registered,60,No,Not Paid,6,"Content Too Basic, Sales Too Pushy"
U000137,25-34,Douyin (TikTok China),Android,0.98,19.7,No,End,Registered,100,Yes,Not Paid,8,"Audio Bad, Need More Support"
U000138,35-44,Douyin (TikTok China),iOS,0.59,11.8,No,Sales_Pitch,Visitor,62,No,Not Paid,4,"Sales Too Pushy, Need More Support, Pace Too Fast"
U000139,35-44,Douyin (TikTok China),Android,0.69,13.8,No,Middle,Registered,88,Yes,Not Paid,6,"Content Too Basic, Too Expensive, Sales Too Pushy"
U000140,18-24,Douyin (TikTok China),iOS,0.44,8.7,No,Middle,Registered,62,No,Not Paid,6,"Sales Too Pushy, Audio Bad, Content Too Basic"
U000141,18-24,WeChat Moments (朋友圈),iOS,0.65,12.9,Yes,Middle,Registered,70,No,Not Paid,3,Need More Support
U000142,25-34,WeChat Channels (视频号),iOS,0.88,17.5,No,Sales_Pitch,Registered,98,Yes,Not Paid,8,Audio Bad
U000143,35-44,WeChat Channels (视频号),Android,0.94,18.8,No,End,Registered,100,Yes,Paid,10,"Easy to Follow, Practical Tips"
U000144,25-34,Douyin (TikTok China),PC,0.61,12.2,No,Sales_Pitch,Registered,72,No,Not Paid,7,"Instructor Boring, Need More Support, Sales Too Pushy"
U000145,25-34,Douyin (TikTok China),Android,0.86,17.1,Yes,End,Registered,100,Yes,Paid,8,"Content Useful, Easy to Follow"
U000146,35-44,WeChat Channels (视频号),Android,0.78,15.6,No,End,Registered,100,Yes,Paid,9,Want More Examples
U000147,35-44,Douyin (TikTok China),iOS,0.91,18.1,No,Sales_Pitch,Registered,88,No,Not Paid,7,"Sales Too Pushy, Content Too Basic"
U000148,25-34,Douyin (TikTok China),Android,0.7,14.0,Yes,Sales_Pitch,Registered,85,Yes,Not Paid,5,"Not Enough Examples, Content Too Basic"
U000149,25-34,WeChat Channels (视频号),PC,0.71,14.1,Yes,End,Registered,85,Yes,Not Paid,5,"Content Too Basic, Not Enough Examples"
U000150,18-24,WeChat Channels (视频号),Android,0.72,14.3,Yes,End,Visitor,65,No,Not Paid,9,Pace Too Fast
U000151,25-34,WeChat Channels (视频号),Android,0.76,15.1,No,Sales_Pitch,Registered,100,Yes,Paid,9,"Good Audio, Practical Tips"
U000152,18-24,WeChat Moments (朋友圈),Android,0.77,15.3,No,End,Registered,92,Yes,Not Paid,3,Pace Too Fast
U000153,18-24,WeChat Channels (视频号),Android,0.92,18.5,Yes,End,Registered,85,No,Not Paid,2,"Hard to Follow, Instructor Boring"
U000154,25-34,Douyin (TikTok China),Android,0.7,13.9,No,Middle,Registered,76,No,Not Paid,6,Sales Too Pushy
U000155,25-34,WeChat Moments (朋友圈),iOS,0.88,17.6,No,End,Registered,99,Yes,Not Paid,6,"Not Enough Examples, Too Expensive"
U000156,35-44,WeChat Moments (朋友圈),PC,0.95,19.1,Yes,Sales_Pitch,Registered,100,Yes,Paid,9,Easy to Follow
U000157,18-24,WeChat Moments (朋友圈),PC,0.57,11.3,Yes,Middle,Registered,65,No,Not Paid,6,Audio Bad
U000158,45-54,Douyin (TikTok China),iOS,0.5,9.9,No,Middle,Visitor,57,No,Not Paid,7,"Sales Too Pushy, Pace Too Fast, Too Expensive"
U000159,35-44,Douyin (TikTok China),Android,0.81,16.2,Yes,Sales_Pitch,Visitor,71,No,Not Paid,9,"Pace Too Fast, Sales Too Pushy, Hard to Follow"
U000160,18-24,Douyin (TikTok China),iOS,0.79,15.7,Yes,End,Registered,89,Yes,Not Paid,7,"Sales Too Pushy, Instructor Boring, Hard to Follow"
U000161,18-24,WeChat Channels (视频号),PC,0.77,15.5,No,End,Registered,93,Yes,Not Paid,6,Too Expensive
U000162,35-44,WeChat Channels (视频号),Android,0.87,17.4,No,Sales_Pitch,Registered,100,Yes,Paid,10,Easy to Follow
U000163,25-34,WeChat Moments (朋友圈),iOS,0.94,18.9,Yes,Sales_Pitch,Registered,100,Yes,Paid,9,"Good Instructor, Clear Structure"
U000164,35-44,WeChat Channels (视频号),iOS,0.81,16.2,No,End,Registered,94,Yes,Not Paid,4,"Too Expensive, Need More Support"
U000165,25-34,WeChat Channels (视频号),iOS,0.93,18.5,Yes,End,Registered,97,Yes,Not Paid,7,"Pace Too Fast, Not Enough Examples, Sales Too Pushy"
U000166,35-44,Douyin (TikTok China),Android,0.78,15.6,No,Sales_Pitch,Registered,93,Yes,Not Paid,6,"Too Expensive, Hard to Follow"
U000167,25-34,Douyin (TikTok China),Android,0.39,7.8,Yes,Sales_Pitch,Visitor,47,No,Not Paid,9,"Pace Too Fast, Not Enough Examples, Too Expensive"
U000168,45-54,WeChat Moments (朋友圈),Android,0.95,19.0,No,End,Registered,90,No,Not Paid,7,"Need More Support, Not Enough Examples, Audio Bad"
U000169,25-34,Douyin (TikTok China),Android,0.49,9.8,Yes,Middle,Visitor,53,No,Not Paid,2,"Pace Too Fast, Hard to Follow, Sales Too Pushy"
U000170,18-24,Douyin (TikTok China),PC,0.74,14.8,No,End,Registered,91,Yes,Not Paid,5,"Sales Too Pushy, Pace Too Fast"
U000171,35-44,Douyin (TikTok China),Android,0.49,9.9,Yes,Middle,Registered,61,No,Not Paid,8,Not Enough Examples
U000172,35-44,WeChat Channels (视频号),PC,0.6,12.1,No,Sales_Pitch,Registered,83,Yes,Not Paid,5,"Need More Support, Hard to Follow"
U000173,35-44,WeChat Moments (朋友圈),Android,0.91,18.2,No,End,Registered,100,Yes,Not Paid,7,"Not Enough Examples, Sales Too Pushy"
U000174,45-54,WeChat Channels (视频号),Android,0.67,13.3,No,Middle,Visitor,67,No,Not Paid,6,Audio Bad
U000175,25-34,Douyin (TikTok China),PC,0.93,18.6,Yes,End,Registered,85,No,Not Paid,6,Too Expensive
U000176,45-54,Douyin (TikTok China),Android,0.28,5.5,No,Middle,Visitor,45,No,Not Paid,8,"Too Expensive, Content Too Basic, Not Enough Examples"
U000177,25-34,Douyin (TikTok China),iOS,0.56,11.2,Yes,Middle,Registered,77,Yes,Not Paid,7,"Content Too Basic, Hard to Follow"
U000178,35-44,Douyin (TikTok China),iOS,0.4,8.1,No,Sales_Pitch,Visitor,52,No,Not Paid,6,"Content Too Basic, Audio Bad"
U000179,25-34,WeChat Channels (视频号),Android,0.71,14.2,No,End,Registered,99,Yes,Paid,10,Practical Tips
U000180,45-54,WeChat Channels (视频号),iOS,0.64,12.8,Yes,Middle,Registered,91,Yes,Paid,7,Good Instructor
U000181,25-34,WeChat Channels (视频号),Android,0.58,11.6,No,Middle,Registered,82,Yes,Not Paid,6,Audio Bad
U000182,18-24,Douyin (TikTok China),Android,0.79,15.8,Yes,End,Registered,78,No,Not Paid,5,"Sales Too Pushy, Not Enough Examples, Content Too Basic"
U000183,25-34,WeChat Moments (朋友圈),Android,0.99,19.8,No,End,Registered,100,Yes,Paid,7,"Practical Tips, Good Instructor"
U000184,25-34,Douyin (TikTok China),PC,0.8,16.0,No,Sales_Pitch,Visitor,74,No,Not Paid,7,"Sales Too Pushy, Not Enough Examples, Content Too Basic"
U000185,35-44,Douyin (TikTok China),PC,0.78,15.6,No,End,Registered,93,Yes,Not Paid,1,Sales Too Pushy
U000186,25-34,Douyin (TikTok China),PC,0.53,10.7,No,Sales_Pitch,Registered,79,Yes,Not Paid,2,"Not Enough Examples, Content Too Basic, Audio Bad"
U000187,25-34,Douyin (TikTok China),PC,0.67,13.4,No,Sales_Pitch,Visitor,67,No,Not Paid,3,"Instructor Boring, Need More Support, Too Expensive"
U000188,25-34,Douyin (TikTok China),Android,0.36,7.2,No,Middle,Registered,70,Yes,Not Paid,3,"Pace Too Fast, Instructor Boring"
U000189,18-24,Douyin (TikTok China),iOS,0.38,7.6,No,Middle,Registered,59,No,Not Paid,5,Audio Bad
U000190,35-44,Douyin (TikTok China),iOS,0.36,7.3,No,Sales_Pitch,Visitor,50,No,Not Paid,2,Not Enough Examples
U000191,45-54,Douyin (TikTok China),Android,0.51,10.1,Yes,Middle,Registered,74,Yes,Not Paid,5,Need More Support
U000192,35-44,Douyin (TikTok China),Android,0.57,11.5,No,Middle,Registered,82,Yes,Not Paid,9,Content Too Basic
U000193,35-44,Douyin (TikTok China),iOS,0.69,13.8,Yes,Middle,Registered,84,Yes,Not Paid,5,"Pace Too Fast, Hard to Follow"
